Player,Points
Carolina Alves,1
Isabella Shinikova,1
Angela Fita Boluda,1
Kajsa Rinaldo Persson,1
Bruna Liotto de Carvalho,0
Pilar Beveraggi Lespiau,0
Monika Stankiewicz,0
Abhilasha Bista,0
Ailin Larraya Guidi Sol,0
Saoirse Breen,0
Amelia Honer,0
Elsa Wan,0
Prathyusha Rachapudi,0
Elena Jamshidi,0
Zhibek Kulambayeva,0
Abril Bruno Valentina,0
Aurora Nosei,0
Rianna Alame,0
Marjorie Souza,0
Anna Kartseva,0
Giovana Schincariol Delatorre Barbosa,0
Luisa Schruff,0
Camila Rodero,0
Luiza Barros Victoria,0
Natalia Sousa Salazar,0
Luna Vujovic,0
Laura Badia,0
Paola Lopez,0
Stefaniya Pushkar,0
Cara Korhonen,0
Angela Cui,0
Shannon Lam,0
Alessia Monteleone Giulia,0
Singh Rao Sandeepti,0
Phillippa Preugschat,0
Pooja Ingale,0
Romina Ccuno,0
Melissa Boyden,0
Kateryna Diatlova,0
Hina Inoue,0
Maria Maruca Melina,0
Geraldine Gerald Gonzalez Jimar,0
Julia Konishi Camargo Silva,0
Zoziya Kardava,0
Rosa Dourado Zimermman Jennifer,0
Garbiela Vasilescu Arina,0
Rebeca Pereira,0
Ksenia Laskutova,0
Mariam Bolkvadze,0
Leticia Garcia Vidal,0
Victoria Gobbi Monllau Ana,0
Diana Marcinkevica,0
Amandine Hesse,0
Laxmisiri Dandu,0
Gala Ivanovic,0
Camila Markus,0
Kristina Belkova,0
Juliana Giaccio,0
Valeriia Artemeva,0
Varvara Panshina,0
Anna Tabunshchyk,0
Victoria Milovanova,0
