Player,Points
Wilson Leite,14
Evan Zhu,14
Lorenzo Joaquin Rodriguez,14
Fares Zakaria,14
Eric Vanshelboim,14
Chase Ferguson,14
Imanol Lopez Morillo,14
Pavel Kotov,13
Tibo Colson,13
Alexander Donski,13
Ryotaro Taguchi,13
Patrick Zahraj,13
Theodore Dean,13
Michael Bassem Sobhy,13
Stefan Adrian Andreescu,13
Marc Majdandzic,13
Kaylan Bigun,13
Aleksandr Braynin,13
Mateus Alves,13
Maik Steiner,13
Santiago Rodriguez Taverna,13
Maxwell Mckennon,13
Manish Sureshkumar,13
Benjamin Torrealba,13
Hady Habib,12
Kei Nishikori,12
Michael Vrbensky,12
Federico Cina,12
Stefano D'Agostino,12
Nikolay Vylegzhanin,12
Radu Albot,12
Nikolai Barsukov,12
Harry Wendelken,12
Keisuke Saitoh,12
Cruz Hewitt,12
Kasidit Samrej,12
Sanhui Shin,12
Stefan Dostanic,12
Sebastian Gima,12
Bautista Vilicich,12
Jack Kennedy,12
Paulo Andre Saraiva Dos Santos,12
Rodrigo Pacheco Mendez,12
Micah Braswell,12
Jelle Sels,11
Henry Searle,11
